,Clinic,Zip,Address,Latitude,Longitude
0,Animal Medical Center of the Village,77005,5406 Kirby Drive,29.7236437,-95.4191148
1,Bellaire Blvd Animal Clinic,77081,6213 Bellaire Boulevard,29.7050481,-95.4901319
2,Gulf Coast Veterinary Specialists,77024,8042 Katy Freeway,29.785343,-95.4815496
3,Heights Veterinary Clinic,77008,1431 North Shepherd Drive,29.7971517,-95.4103588
4,Brookdale Animal Hospital,77089,11120 Scarsdale Boulevard,29.5882849,-95.2084204
5,Animal Kingdom Pet Hospital,77573,551 A League City Parkway,29.4909324,-95.0858174
6,Pearland Pet Health Center,77584,10525 Hughes Ranch Road,29.5710037,-95.38336269999999
7,Briarcrest Veterinary Clinic,77042,1492 Wilcrest Drive,29.7486614,-95.5723077
8,ABC Animal & Bird Clinic,77498,11930 Hwy 6 South,29.64219,-95.65216249999999
9,All Pets Animal Hospital,77494,24221 Kingsland Boulevard,29.7731098,-95.79340669999999
